State,University,Years,Percentage
New South Wales,Charles Sturt University,2005-2010,56.033741
New South Wales,Charles Sturt University,2006-2011,54.19004059
New South Wales,Charles Sturt University,2007-2012,53.66394043
New South Wales,Charles Sturt University,2008-2013,55.92331314
New South Wales,Charles Sturt University,2009-2014,53.52763367
New South Wales,Charles Sturt University,2010-2015,54.65773392
New South Wales,Charles Sturt University,2011-2016,54.58477402
New South Wales,Charles Sturt University,2012-2017,54.68453979
New South Wales,Charles Sturt University,2013-2018,53.41246414
New South Wales,Charles Sturt University,2014-2019,49.50828934
New South Wales,Charles Sturt University,2015-2020,50.32894897
New South Wales,Charles Sturt University,2016-2021,49.13401413
New South Wales,Macquarie University,2005-2010,72.11628723
New South Wales,Macquarie University,2006-2011,71.87237549
New South Wales,Macquarie University,2007-2012,73.20191956
New South Wales,Macquarie University,2008-2013,73.03255463
New South Wales,Macquarie University,2009-2014,71.27446747
New South Wales,Macquarie University,2010-2015,69.42164612
New South Wales,Macquarie University,2011-2016,69.51174927
New South Wales,Macquarie University,2012-2017,66.19107056
New South Wales,Macquarie University,2013-2018,68.66810608
New South Wales,Macquarie University,2014-2019,66.22064209
New South Wales,Macquarie University,2015-2020,65.6625824
New South Wales,Macquarie University,2016-2021,65.24684143
New South Wales,Southern Cross University,2005-2010,52.67647171
New South Wales,Southern Cross University,2006-2011,54.66791916
New South Wales,Southern Cross University,2007-2012,52.71006775
New South Wales,Southern Cross University,2008-2013,52.16984177
New South Wales,Southern Cross University,2009-2014,52.53442764
New South Wales,Southern Cross University,2010-2015,55.67551041
New South Wales,Southern Cross University,2011-2016,51.14527893
New South Wales,Southern Cross University,2012-2017,50.09457779
New South Wales,Southern Cross University,2013-2018,50.78397369
New South Wales,Southern Cross University,2014-2019,49.48635101
New South Wales,Southern Cross University,2015-2020,48.74124146
New South Wales,Southern Cross University,2016-2021,46.08076096
New South Wales,The University of New England,2005-2010,52.97770309
New South Wales,The University of New England,2006-2011,51.60998917
